Type,x_1,y_1,z_1,x_2,y_2,z_2,Orientation,Width,Height
window,-3.6483,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,-2.1483,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,-0.6483,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,0.8517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,2.3517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,3.8517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,5.3517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,6.8517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,8.3517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,9.8517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,11.3517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,12.8517,9.4728,0.9,0.0,0.0,0.0,6.2832,1.4,1.8
window,-3.8483,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,-2.3483,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,-0.7483,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,0.7517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,2.3517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,3.8517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,5.4517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,6.9517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,8.5517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,10.0517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,11.6517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
window,13.1517,-7.6123,0.9,0.0,0.0,0.0,3.1416,1.4,1.8
